"locatorName","locatorExist","toolTip","premium","checked","enabled","visible","skipFlag","ref"
"leftBar_catalog_upper","","Upper Jaw","False","True","True","True","","upper+lower+bites"
"leftBar_catalog_upper","","Upper Jaw","False","False","True","True","","lower+emergency-impress"
"leftBar_catalog_lower","","Lower Jaw","False","False","True","True","","upper+lower+bites"
"leftBar_catalog_lower","","Lower Jaw","False","True","True","True","","lower+emergency-impress"
"leftBar_catalog_switch","N","Switch Catalog","False","False","True","True","",""
"leftBar_catalog_bite","N","Buccal Bite Registration","False","False","False","False","",""
"leftBar_tool_cut","","Free Cut","False","False","True","True","",""
"leftBar_tool_history","","Rewind","False","False","True","True","",""
"leftBar_tool_delete","","Delete All","False","False","True","True","",""
"leftBar_tool_lock","","Reverse Lock","False","False","True","True","",""
"leftBar_tool_keep","","Keep","False","False","True","True","",""
"leftBar_tool_imageGallery","","Image Gallery","False","False","True","True","",""
"leftBar_tool_parallelismCheck","","Parallelism Check","False","False","True","True","",""
"leftBar_tool_occlusionCheck","","Occlusion check","False","False","False","True","","lower+emergency-impress"
"leftBar_tool_occlusionCheck","","Occlusion check","False","False","True","True","","upper+lower+bites"
"leftBar_tool_toothSelection","N","Tooth Selection","False","False","True","True","",""
"leftBar_tool_freeze","","Freeze","False","False","True","True","",""
"leftBar_tool_impressArea","N","Impression Area: Polygon Select","False","False","False","False","","upper+lower+bites"
"leftBar_tool_impressArea","","Impression Area: Polygon Select","False","False","True","True","","lower+emergency-impress"
