"locatorName","locatorExist","toolTip","premium","checked","enabled","visible","skipFlag","ref","acqCatalogFlag","acqCatalogNames"
"leftBar_catalog_upper","","Upper Jaw","False","True","True","True","","fullarch,onlyupper,fullarchwithoutbite","",""
"leftBar_catalog_upper","","Upper Jaw","False","False","True","True","","onlylower","",""
"leftBar_catalog_lower","","Lower Jaw","False","False","True","True","","fullarch,onlyupper,fullarchwithoutbite","",""
"leftBar_catalog_lower","","Lower Jaw","False","True","True","True","","onlylower","",""
"leftBar_catalog_switch","Y","Switch Catalog","False","False","True","True","","","Y","Common Scan"
"leftBar_catalog_switch","N","Switch Catalog","False","False","False","False","","","N","Common Scan"
"leftBar_catalog_bite","Y","Buccal Bite Registration","False","False","False","True","","nobite","Y","Common Scan"
"leftBar_catalog_bite","Y","Buccal Bite Registration","False","False","True","True","","bite,fullarchwithoutbite","Y","Common Scan"
"leftBar_catalog_bite","N","Buccal Bite Registration","False","False","False","False","","","N","Common Scan"
"leftBar_tool_cut","","Free Cut","False","False","True","True","","","",""
"leftBar_tool_history","","Rewind","False","False","True","True","","","",""
"leftBar_tool_delete","","Delete All","False","False","True","True","","","",""
"leftBar_tool_lock","","Lock","False","False","True","True","","","Y","Common Scan,Edentulous Scan,Denture Scan"
"leftBar_tool_lock","","Reverse Lock","False","False","True","True","","","N","Common Scan,Edentulous Scan,Denture Scan"
"leftBar_tool_keep","","Keep","False","False","True","True","","","",""
"leftBar_tool_imageGallery","","Image Gallery","False","False","True","True","","","",""
"leftBar_tool_preparationCheck1","Y","Preparation Check","False","False","True","True","","","Y","Preparation Scan"
"leftBar_tool_preparationCheck1","N","Preparation Check","False","False","False","False","","","N","Preparation Scan"
"leftBar_tool_preparationCheck2","Y","Preparation Check","False","False","True","True","","","Y","Emergence Profile Scan,Scanbody Scan"
"leftBar_tool_preparationCheck2","N","Preparation Check","False","False","False","False","","","N","Emergence Profile Scan,Scanbody Scan"
"leftBar_tool_parallelismCheck","Y","Parallelism Check","False","False","True","True","","data","N","Edentulous Scan,Denture Scan"
"leftBar_tool_parallelismCheck","Y","Parallelism Check","False","False","False","True","","nodata","N","Edentulous Scan,Denture Scan"
"leftBar_tool_parallelismCheck","N","Parallelism Check","False","False","False","False","","","Y","Edentulous Scan,Denture Scan"
"leftBar_tool_occlusionCheck","Y","Occlusion check","False","False","False","True","","nobite,fullarchwithoutbite","Y","Common Scan,Emergence Profile Scan,Scanbody Scan,Preparation Scan"
"leftBar_tool_occlusionCheck","Y","Occlusion check","False","False","True","True","","bite","Y","Common Scan,Emergence Profile Scan,Scanbody Scan,Preparation Scan"
"leftBar_tool_occlusionCheck","N","Occlusion check","False","False","False","False","","","N","Common Scan,Emergence Profile Scan,Scanbody Scan,Preparation Scan"
"leftBar_tool_toothSelection","Y","Tooth Selection","False","False","True","True","","","Y","Common Scan"
"leftBar_tool_toothSelection","N","Tooth Selection","False","False","False","False","","","N","Common Scan"
"leftBar_tool_freeze","","Freeze","False","False","True","True","","","",""
"leftBar_tool_impressArea","N","Impression Area: Polygon Select","False","False","False","False","","","N","Common Scan,Emergence Profile Scan,Edentulous Scan,Denture Scan"
"leftBar_tool_impressArea","N","Impression Area: Polygon Select","False","False","False","False","","noimpress","Y","Common Scan,Emergence Profile Scan,Edentulous Scan,Denture Scan"
"leftBar_tool_impressArea","Y","Impression Area: Polygon Select","False","False","True","True","","impress","Y","Common Scan,Emergence Profile Scan,Edentulous Scan,Denture Scan"
