"locatorName","locatorExist","toolTip","premium","checked","enabled","visible","skipFlag","ref","acqCatalogFlag","acqCatalogNames"
"leftBar_catalog_upper","","Upper Jaw","False","True","True","True","","fullarch,onlyupper","",""
"leftBar_catalog_upper","","Upper Jaw","False","False","True","True","","onlylower","",""
"leftBar_catalog_lower","","Lower Jaw","False","False","True","True","","fullarch,onlyupper","",""
"leftBar_catalog_lower","","Lower Jaw","False","True","True","True","","onlylower","",""
"leftBar_catalog_switch","N","Switch Catalog","False","False","False","False","","","",""
"leftBar_catalog_bite","N","Buccal Bite Registration","False","False","False","False","","","",""
"leftBar_tool_cut","","Free Cut","False","False","True","True","","","",""
"leftBar_tool_history","","Rewind","False","False","True","True","","","",""
"leftBar_tool_delete","","Delete All","False","False","True","True","","","",""
"leftBar_tool_lock","","Lock","False","False","True","True","","","",""
"leftBar_tool_keep","N","Keep","False","False","False","False","","","",""
"leftBar_tool_imageGallery","N","Image Gallery","False","False","False","False","","","",""
"leftBar_tool_preparationCheck","N","Preparation Check","False","False","False","False","","","",""
"leftBar_tool_parallelismCheck","N","Parallelism Check","False","False","False","False","","","",""
"leftBar_tool_occlusionCheck","N","Occlusion check","False","False","False","False","","","",""
"leftBar_tool_toothSelection","N","Tooth Selection","False","False","False","False","","","",""
"leftBar_tool_freeze","","Freeze","False","False","True","True","","","",""
"leftBar_tool_impressArea","N","Impression Area: Polygon Select","False","False","False","False","","","",""
